,proteinName,geneName,synonyms,geneID,geneENS
A0A024RBG1,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,[],11163,ENSG00000177144
A0A075B6T7,T cell receptor alpha variable 6,TRAV6,['TCRAV5S1'],,ENSG00000211780
A0A087WTH1,Transmembrane protein 265,TMEM265,[],100862671,ENSG00000281991
A0A087WTH5,Putative potassium voltage-gated channel subfamily E member 1B,KCNE1B,[],102723475,
A0A087WUL8,Neuroblastoma breakpoint family member 19,NBPF19,[],,ENSG00000271383
A0A087WV53,SPEG neighbor protein,SPEGNB,[],100996693,ENSG00000286095
A0A087WVF3,TBC1 domain family member 3D,TBC1D3D,[],101060389,ENSG00000274419
A0A087WWA1,PIK3R3 upstream open reading frame protein,P3R3URF,[],110117498,ENSG00000250719
A0A087WX78,,,[],,
A0A087WXM9,Meiosis-specific kinetochore protein,MEIKIN,[],728637,ENSG00000239642
A0A087WXS9,TBC1 domain family member 3I,TBC1D3I,[],102724862,ENSG00000274933
A0A087X179,TBC1 domain family member 3E,TBC1D3E,[],102723859,ENSG00000278599
A0A087X1G2,TBC1 domain family member 3K,TBC1D3K,[],101060351,ENSG00000273513
A0A096LNP1,Beta-defensin 131B,DEFB131B,[],100129216,ENSG00000225805
A0A096LP01,Small integral membrane protein 26,SMIM26,[],,ENSG00000232388
A0A096LP49,Coiled-coil domain-containing protein 187,CCDC187,[],399693,ENSG00000260220
A0A096LPI5,Putative uncharacterized protein CCDC28A-AS1,CCDC28A-AS1,['GVQW2'],,
A0A0A0MT76,Immunoglobulin lambda joining 1,IGLJ1,[],,ENSG00000211674
A0A0A6YYL3,POTE ankyrin domain family member B,POTEB,[],100996331,ENSG00000233917
A0A0B4J2D5,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",GATD3B,"['HES1', 'KNPI']",8209,
A0A0B4J2F2,Putative serine/threonine-protein kinase SIK1B,SIK1B,[],102724428,
A0A0D9SF12,Transmembrane protein CCDC163,CCDC163,"['C1orf231', 'CCDC163P']",,ENSG00000280670
A0A0G2JMD5,PRAME family member 33,PRAMEF33,[],645382,ENSG00000283488
A0A0J9YWL9,Putative testis-expressed protein 13C,TEX13C,[],100129520,ENSG00000282815
A0A0J9YX94,Paraneoplastic antigen Ma6F,PNMA6F,['PNMA6BL'],,ENSG00000225110
A0A0J9YXQ4,Paraneoplastic antigen Ma6E,PNMA6E,[],,ENSG00000214897
A0A0J9YY54,Testis-expressed protein 13D,TEX13D,[],,ENSG00000282419
A0A0K2S4Q6,Protein CD300H,CD300H,[],100130520,ENSG00000284690
A0A0U1RQF7,DPEP2 neighbor protein,DPEP2NB,[],100131303,ENSG00000263201
A0A0U1RQI7,Kruppel-like factor 18,KLF18,[],,ENSG00000283039
A0A0U1RQS6,Transmembrane protein 275,TMEM275,[],,ENSG00000282881
A0A0U1RR11,Centromere protein V-like protein 1,CENPVL1,['CENPVP1'],,ENSG00000223591
A0A0U1RR37,Uncharacterized protein C1orf232,C1orf232,[],,ENSG00000282872
A0A0U1RRE5,Negative regulator of P-body association,NBDY,['LINC01420'],550643,ENSG00000204272
A0A0U1RRI6,Centromere protein V-like protein 3,CENPVL3,['CENPVP3'],,ENSG00000224109
A0A0U1RRK4,LBH domain-containing protein 2,LBHD2,[],107984640,ENSG00000283071
A0A0U1RRL7,Protein MMP24OS,MMP24OS,['MMP24-AS1'],,ENSG00000126005
A0A0U1RRN3,Mitochondrial sheath formation-associated protein,MISFA,"['SPTY2D1-AS1', 'SPTY2D1OS']",,ENSG00000247595
A0A183,Late cornified envelope protein 6A,LCE6A,['C1orf44'],448835,ENSG00000235942
A0A1B0GTC6,Uncharacterized protein C3orf85,C3orf85,[],,ENSG00000241224
A0A1B0GTD5,Testis-expressed protein 49,TEX49,[],,ENSG00000257987
A0A1B0GTH6,Casein kinase II subunit alpha'-interacting protein,CSNKA2IP,[],,ENSG00000283434
A0A1B0GTI1,Coiled-coil domain-containing protein 201,CCDC201,[],,ENSG00000283247
A0A1B0GTK4,Protein FAM237A,FAM237A,[],200726,ENSG00000235118
A0A1B0GTK5,Protein FAM236D,FAM236D,[],105373251,ENSG00000225396
A0A1B0GTL2,Uncharacterized protein C20orf204,C20orf204,['PRR17'],284739,ENSG00000196421
A0A1B0GTQ4,Protein myomixer,MYMX,[],101929726,ENSG00000262179
A0A1B0GTR0,Epididymal protein 13,EDDM13,[],,ENSG00000267710
A0A1B0GTR3,Uncharacterized protein CXorf51A,CXorf51A,['CXorf51'],100133053,ENSG00000224440
A0A1B0GTR4,Putative small proline-rich protein 5,SPRR5,[],,ENSG00000283227
A0A1B0GTS1,"Heat shock transcription factor, X-linked member 4",HSFX4,[],,ENSG00000283463
A0A1B0GTU1,Zinc finger CCCH domain-containing protein 11B,ZC3H11B,['ZC3HDC11B'],,ENSG00000215817
A0A1B0GTW7,Ciliated left-right organizer metallopeptidase,CIROP,['LMLN2'],,ENSG00000283654
A0A1B0GTY4,Testis-expressed protein 50,TEX50,[],730159,ENSG00000232113
A0A1B0GTZ2,Putative coiled-coil domain-containing protein 196,CCDC196,"['C14orf53', 'LINC00238', 'NCRNA00238']",,ENSG00000196553
A0A1B0GU29,Small integral membrane protein 28,SMIM28,[],,ENSG00000262543
A0A1B0GU33,Testis-expressed protein 53,TEX53,[],,ENSG00000230054
A0A1B0GUA5,Small integral membrane protein 32,SMIM32,[],,ENSG00000271824
A0A1B0GUA6,Putative coiled-coil domain-containing protein 195,CCDC195,[],,ENSG00000283428
A0A1B0GUA7,Testis-expressed protein 51,TEX51,[],101929926,ENSG00000237524
A0A1B0GUA9,Uncharacterized protein C13orf46,C13orf46,[],,ENSG00000283199
A0A1B0GUC4,Myocilin opposite strand protein,MYOCOS,[],,ENSG00000283683
